Day,Hour,Temp,PredictedKwh
12/9/2014,17,48.14,134.1605027
12/9/2014,18,48.44,134.9993648
12/9/2014,19,48.92,66.89734378
12/9/2014,20,48.56,65.89043809
12/9/2014,21,48.92,66.89734378
12/9/2014,22,48.92,66.89734378
12/9/2014,23,48.92,66.89734378
12/10/2014,0,46.04,60.83940495
12/10/2014,1,44.96,57.82454621
12/10/2014,2,42.98,52.30237697
12/10/2014,3,42.08,49.7944698
12/10/2014,4,42.08,49.7944698
12/10/2014,5,42.2,50.12877907
12/10/2014,6,41,46.78677123
12/10/2014,7,41.9,118.7375648
12/10/2014,8,41,116.2312849
12/10/2014,9,41,116.2312849
12/10/2014,10,41.36,117.2336341
12/10/2014,11,42.56,120.5763652
12/10/2014,12,42.44,120.2419836
12/10/2014,13,42.56,120.5763652
12/10/2014,14,41,116.2312849
12/10/2014,15,39.92,113.2255391
12/10/2014,16,39.92,113.2255391
12/10/2014,17,39.11,110.9725113
12/10/2014,18,39.11,110.9725113
12/10/2014,19,39.02,41.27772897
12/10/2014,20,39.14,41.61142348
12/10/2014,21,37.94,38.27556326
12/10/2014,22,39.02,41.27772897
12/10/2014,23,39.02,41.27772897
12/11/2014,0,39.14,43.60265486
12/11/2014,1,39.155,43.64436837
12/11/2014,2,37.94,40.26679465
12/11/2014,3,37.94,40.26679465
12/11/2014,4,37.04,37.76648159
12/11/2014,5,35.96,34.76789597
12/11/2014,6,35.06,32.27056632
12/11/2014,7,35.33,102.4641365
12/11/2014,8,35.33,102.4641365
12/11/2014,9,34.43,99.96775614
12/11/2014,10,33.98,98.72007448
12/11/2014,11,33.89,98.47057884
12/11/2014,12,33.656,97.82195361
12/11/2014,13,33.86,98.38741663
12/11/2014,14,33.86,98.38741663
12/11/2014,15,33.98,98.72007448
12/11/2014,16,33.89,98.47057884
12/11/2014,17,33.98,98.72007448
12/11/2014,18,33.08,96.22572824
12/11/2014,19,33.08,26.78121454
12/11/2014,20,32,23.78978909
12/11/2014,21,32,23.78978909
12/11/2014,22,32,23.78978909
12/11/2014,23,32,23.78978909
12/12/2014,0,32,25.78102047
12/12/2014,1,30.92,22.7915478
12/12/2014,2,30.92,22.7915478
12/12/2014,3,30.92,22.7915478
12/12/2014,4,30.92,22.7915478
12/12/2014,5,32,25.78102047
12/12/2014,6,32,25.78102047
12/12/2014,7,32,95.22553417
12/12/2014,8,33.98,100.7113059
