"Day","Hour","Temp","kwh"
"12/15/2014",21,35.96,50.6871367371064
"12/15/2014",22,36.32,50.6871367371064
"12/15/2014",23,37.94,50.6871367371064
"12/16/2014",0,35.96,50.6871367371064
"12/16/2014",1,35.06,50.6871367371064
"12/16/2014",2,35.06,50.6871367371064
"12/16/2014",3,35.06,50.6871367371064
"12/16/2014",4,35.96,50.6871367371064
"12/16/2014",5,37.04,50.6871367371064
"12/16/2014",6,37.94,50.6871367371064
"12/16/2014",7,39.02,95.2555685137027
"12/16/2014",8,39.02,95.2555685137027
"12/16/2014",9,39.92,95.2555685137027
"12/16/2014",10,41,95.2555685137027
"12/16/2014",11,39.92,95.2555685137027
"12/16/2014",12,39.92,95.2555685137027
"12/16/2014",13,39.92,56.3471136776725
"12/16/2014",14,39.92,56.3471136776725
"12/16/2014",15,39.92,56.3471136776725
"12/16/2014",16,41,56.3471136776725
"12/16/2014",17,41.54,56.3471136776725
"12/16/2014",18,42.08,56.3471136776725
"12/16/2014",19,42.98,50.6871367371064
"12/16/2014",20,43.43,50.6871367371064
"12/16/2014",21,44.06,50.6871367371064
"12/16/2014",22,44.06,50.6871367371064
"12/16/2014",23,42.98,50.6871367371064
"12/17/2014",0,43.46,50.6871367371064
"12/17/2014",1,44.06,50.6871367371064
"12/17/2014",2,44.96,50.6871367371064
"12/17/2014",3,46.04,50.6871367371064
"12/17/2014",4,46.94,50.6871367371064
"12/17/2014",5,44.96,50.6871367371064
"12/17/2014",6,44.42,50.6871367371064
"12/17/2014",7,42.98,95.2555685137027
"12/17/2014",8,42.98,95.2555685137027
"12/17/2014",9,42.89,95.2555685137027
"12/17/2014",10,42.44,95.2555685137027
"12/17/2014",11,42.86,95.2555685137027
"12/17/2014",12,44.78,95.2555685137027
"12/17/2014",13,46.04,56.3471136776725
"12/17/2014",14,46.67,56.3471136776725
"12/17/2014",15,47.21,56.3471136776725
"12/17/2014",16,48.02,56.3471136776725
"12/17/2014",17,46.94,56.3471136776725
"12/17/2014",18,45.86,56.3471136776725
"12/17/2014",19,44.96,50.6871367371064
"12/17/2014",20,44.06,50.6871367371064
"12/17/2014",21,42.98,50.6871367371064
"12/17/2014",22,42.08,50.6871367371064
"12/17/2014",23,41,50.6871367371064
"12/18/2014",0,39.92,50.6871367371064
"12/18/2014",1,39.92,50.6871367371064
"12/18/2014",2,39.92,50.6871367371064
"12/18/2014",3,39.92,50.6871367371064
"12/18/2014",4,39.02,50.6871367371064
"12/18/2014",5,37.04,50.6871367371064
"12/18/2014",6,37.04,50.6871367371064
"12/18/2014",7,36.32,95.2555685137027
"12/18/2014",8,37.04,95.2555685137027
"12/18/2014",9,39.92,95.2555685137027
"12/18/2014",10,41,95.2555685137027
"12/18/2014",11,42.98,95.2555685137027
"12/18/2014",12,42.98,95.2555685137027
"12/18/2014",13,42.98,56.3471136776725
"12/18/2014",14,42.98,56.3471136776725
"12/18/2014",15,42.08,56.3471136776725
"12/18/2014",16,41,56.3471136776725
"12/18/2014",17,41,56.3471136776725
"12/18/2014",18,39.92,56.3471136776725
"12/18/2014",19,39.02,50.6871367371064
"12/18/2014",20,39.02,50.6871367371064
"12/18/2014",21,39.02,50.6871367371064
"12/18/2014",22,37.94,50.6871367371064
"12/18/2014",23,37.04,50.6871367371064
"12/19/2014",0,37.04,50.6871367371064
"12/19/2014",1,37.04,50.6871367371064
"12/19/2014",2,35.96,50.6871367371064
"12/19/2014",3,35.06,50.6871367371064
"12/19/2014",4,35.06,50.6871367371064
"12/19/2014",5,33.98,50.6871367371064
"12/19/2014",6,33.98,50.6871367371064
"12/19/2014",7,33.98,95.2555685137027
"12/19/2014",8,35.06,95.2555685137027
"12/19/2014",9,33.98,95.2555685137027
"12/19/2014",10,33.98,95.2555685137027
"12/19/2014",11,35.06,95.2555685137027
"12/19/2014",12,35.06,95.2555685137027
"12/19/2014",13,35.06,56.3471136776725
"12/19/2014",14,35.06,56.3471136776725
"12/19/2014",15,35.06,56.3471136776725
"12/19/2014",16,33.08,56.3471136776725
"12/19/2014",17,32,56.3471136776725
"12/19/2014",18,30.92,56.3471136776725
"12/19/2014",19,30.92,50.6871367371064
"12/19/2014",20,30.02,50.6871367371064
