"date","month","day","year","hour","DayOfWeek","Weekday","PeakHour","temp"
2014-12-09,"12","9","2014",18,2,1,1,48.44
2014-12-09,"12","9","2014",19,2,1,0,48.92
2014-12-09,"12","9","2014",20,2,1,0,48.56
2014-12-09,"12","9","2014",21,2,1,0,48.92
2014-12-09,"12","9","2014",22,2,1,0,48.92
2014-12-09,"12","9","2014",23,2,1,0,48.92
2014-12-10,"12","10","2014",0,3,1,0,46.04
2014-12-10,"12","10","2014",1,3,1,0,44.96
2014-12-10,"12","10","2014",2,3,1,0,42.98
2014-12-10,"12","10","2014",3,3,1,0,42.08
2014-12-10,"12","10","2014",4,3,1,0,42.08
2014-12-10,"12","10","2014",5,3,1,0,42.2
2014-12-10,"12","10","2014",6,3,1,0,41
2014-12-10,"12","10","2014",7,3,1,1,41.9
2014-12-10,"12","10","2014",8,3,1,1,41
2014-12-10,"12","10","2014",9,3,1,1,41
2014-12-10,"12","10","2014",10,3,1,1,41.36
2014-12-10,"12","10","2014",11,3,1,1,42.56
2014-12-10,"12","10","2014",12,3,1,1,42.44
2014-12-10,"12","10","2014",13,3,1,1,42.56
2014-12-10,"12","10","2014",14,3,1,1,41
2014-12-10,"12","10","2014",15,3,1,1,39.92
2014-12-10,"12","10","2014",16,3,1,1,39.92
2014-12-10,"12","10","2014",17,3,1,1,39.11
2014-12-10,"12","10","2014",18,3,1,1,39.11
2014-12-10,"12","10","2014",19,3,1,0,39.02
2014-12-10,"12","10","2014",20,3,1,0,39.14
2014-12-10,"12","10","2014",21,3,1,0,37.94
2014-12-10,"12","10","2014",22,3,1,0,39.02
2014-12-10,"12","10","2014",23,3,1,0,39.02
2014-12-11,"12","11","2014",0,4,1,0,39.14
2014-12-11,"12","11","2014",1,4,1,0,39.155
2014-12-11,"12","11","2014",2,4,1,0,37.94
2014-12-11,"12","11","2014",3,4,1,0,37.94
2014-12-11,"12","11","2014",4,4,1,0,37.04
2014-12-11,"12","11","2014",5,4,1,0,35.96
2014-12-11,"12","11","2014",6,4,1,0,35.06
2014-12-11,"12","11","2014",7,4,1,1,35.33
2014-12-11,"12","11","2014",8,4,1,1,35.33
2014-12-11,"12","11","2014",9,4,1,1,34.43
2014-12-11,"12","11","2014",10,4,1,1,33.98
2014-12-11,"12","11","2014",11,4,1,1,33.89
2014-12-11,"12","11","2014",12,4,1,1,33.656
2014-12-11,"12","11","2014",13,4,1,1,33.86
2014-12-11,"12","11","2014",14,4,1,1,33.86
2014-12-11,"12","11","2014",15,4,1,1,33.98
